;train_losses;val_losses;f1_train_score_epoch;f1_val_score_epoch
0;1.5245860517267487;1.1670868009715885;0.26705998680762255;0.4757358655770599
1;1.103144863643134;0.8247129406247821;0.4932584761601724;0.7248368420731723
2;0.7986868179067544;0.6425631232075877;0.6571941903660832;0.7935562984467386
3;0.6107158936360098;0.5406567256946069;0.7599949003254981;0.8323725381971101
4;0.4838843062410906;0.4820158396448408;0.8156415233279364;0.8602728980143742
5;0.416310552080246;0.4209339680609765;0.8457995361675522;0.8802276696133904
6;0.3524262118960319;0.3900179588175439;0.8728418598445811;0.8915644434713486
7;0.29571961966154536;0.392632282399512;0.9052423771582079;0.884948811918351
8;0.32317838089751266;0.39260649952021515;0.8839256308800927;0.8805738876162134
9;0.3173182508972624;0.39408823499431855;0.8999766822155326;0.8849293896777415
10;0.30757361381300297;0.39394130490042945;0.9046846740630108;0.8884290831996476
11;0.29579414875891463;0.39990441481788436;0.9080631365307347;0.8785282061853777
